StoreCode|ProductCode|V1|Date
Store1|Product1|0|2017-02-01
Store1|Product1|0|2017-02-02
Store1|Product1|0|2017-02-03
Store1|Product1|0|2017-02-04
Store1|Product1|0|2017-02-05
Store1|Product1|0|2017-02-06
Store1|Product1|0|2017-02-07
Store1|Product1|0|2017-02-08
Store1|Product1|0|2017-02-09
Store1|Product1|0|2017-02-10
Store1|Product1|0|2017-02-11
Store1|Product1|0|2017-02-12
Store1|Product1|0|2017-02-13
Store1|Product1|0|2017-02-14
Store1|Product10|0|2017-02-01
Store1|Product10|0|2017-02-02
Store1|Product10|0|2017-02-03
Store1|Product10|0|2017-02-04
Store1|Product10|0|2017-02-05
Store1|Product10|0|2017-02-06
Store1|Product10|0|2017-02-07
Store1|Product10|0|2017-02-08
Store1|Product10|0|2017-02-09
Store1|Product10|0|2017-02-10
Store1|Product10|0|2017-02-11
Store1|Product10|0|2017-02-12
Store1|Product10|0|2017-02-13
Store1|Product10|0|2017-02-14
Store1|Product100|0|2017-02-01
Store1|Product100|0|2017-02-02
Store1|Product100|0|2017-02-03
Store1|Product100|0|2017-02-04
Store1|Product100|0|2017-02-05
Store1|Product100|0|2017-02-06
Store1|Product100|0|2017-02-07
Store1|Product100|0|2017-02-08
Store1|Product100|0|2017-02-09
Store1|Product100|0|2017-02-10
Store1|Product100|0|2017-02-11
Store1|Product100|0|2017-02-12
Store1|Product100|0|2017-02-13
Store1|Product100|0|2017-02-14
Store1|Product101|0|2017-02-01
Store1|Product101|0|2017-02-02
Store1|Product101|0|2017-02-03
Store1|Product101|0|2017-02-04
Store1|Product101|0|2017-02-05
Store1|Product101|0|2017-02-06
Store1|Product101|0|2017-02-07
Store1|Product101|0|2017-02-08
Store1|Product101|0|2017-02-09
Store1|Product101|0|2017-02-10
Store1|Product101|0|2017-02-11
Store1|Product101|0|2017-02-12
Store1|Product101|0|2017-02-13
Store1|Product101|0|2017-02-14
Store1|Product102|0|2017-02-01
Store1|Product102|0|2017-02-02
Store1|Product102|0|2017-02-03
Store1|Product102|0|2017-02-04
Store1|Product102|0|2017-02-05
Store1|Product102|0|2017-02-06
Store1|Product102|0|2017-02-07
Store1|Product102|0|2017-02-08
Store1|Product102|0|2017-02-09
Store1|Product102|0|2017-02-10
Store1|Product102|0|2017-02-11
Store1|Product102|0|2017-02-12
Store1|Product102|0|2017-02-13
Store1|Product102|0|2017-02-14
Store1|Product103|0|2017-02-01
Store1|Product103|0|2017-02-02
Store1|Product103|0|2017-02-03
Store1|Product103|0|2017-02-04
Store1|Product103|0|2017-02-05
Store1|Product103|0|2017-02-06
Store1|Product103|0|2017-02-07
Store1|Product103|0|2017-02-08
Store1|Product103|0|2017-02-09
Store1|Product103|0|2017-02-10
Store1|Product103|0|2017-02-11
Store1|Product103|0|2017-02-12
Store1|Product103|0|2017-02-13
Store1|Product103|0|2017-02-14
Store1|Product104|0|2017-02-01
